Sl. No.,State/UT,Financial Problems/Indebtedness,Financial Problems/Indebtedness,Financial Problems/Indebtedness,Financial Problems/Indebtedness,Marriage Related Issues (Total),Marriage Related Issues (Total),Marriage Related Issues (Total),Marriage Related Issues (Total),Marriage Related Issues(Non-Settlement of Marriage),Marriage Related Issues(Non-Settlement of Marriage),Marriage Related Issues(Non-Settlement of Marriage),Marriage Related Issues(Non-Settlement of Marriage),Marriage Related Issues(Dowry Related Issues),Marriage Related Issues(Dowry Related Issues),Marriage Related Issues(Dowry Related Issues),Marriage Related Issues(Dowry Related Issues),Marriage Related Issues(Extra Marital Affairs),Marriage Related Issues(Extra Marital Affairs),Marriage Related Issues(Extra Marital Affairs),Marriage Related Issues(Extra Marital Affairs),Marriage Related Issues(Divorce),Marriage Related Issues(Divorce),Marriage Related Issues(Divorce),Marriage Related Issues(Divorce),Marriage Related Issues (Others),Marriage Related Issues (Others),Marriage Related Issues (Others),Marriage Related Issues (Others),Property Dispute,Property Dispute,Property Dispute,Property Dispute,Impotency/Infertility,Impotency/Infertility,Impotency/Infertility,Impotency/Infertility,Family Problems,Family Problems,Family Problems,Family Problems,Service Related Issues (Total),Service Related Issues (Total),Service Related Issues (Total),Service Related Issues (Total),Service Related Issues(Physical Fatigue),Service Related Issues(Physical Fatigue),Service Related Issues(Physical Fatigue),Service Related Issues(Physical Fatigue),Service Related Issues (Mental Depression),Service Related Issues (Mental Depression),Service Related Issues (Mental Depression),Service Related Issues (Mental Depression),Service Related Issues (Promotion Related Issues),Service Related Issues (Promotion Related Issues),Service Related Issues (Promotion Related Issues),Service Related Issues (Promotion Related Issues),Service Related Issues (Leave Related Issues),Service Related Issues (Leave Related Issues),Service Related Issues (Leave Related Issues),Service Related Issues (Leave Related Issues),Service Related Issues(Other Service Conditions),Service Related Issues(Other Service Conditions),Service Related Issues(Other Service Conditions),Service Related Issues(Other Service Conditions),Drug Abuse/Alcoholic Addiction,Drug Abuse/Alcoholic Addiction,Drug Abuse/Alcoholic Addiction,Drug Abuse/Alcoholic Addiction,Fall in Social Reputation,Fall in Social Reputation,Fall in Social Reputation,Fall in Social Reputation,Other Causes,Other Causes,Other Causes,Other Causes,Causes Not Known,Causes Not Known,Causes Not Known,Causes Not Known,Total,Total,Total,Total
,,Male,Female,Transgender,Total,Male,Female,Transgender,Total,Male,Female,Transgender,Total,Male,Female,Transgender,Total,Male,Female,Transgender,Total,Male,Female,Transgender,Total,Male,Female,Transgender,Total,Male,Female,Transgender,Total,Male,Female,Transgender,Total,Male,Female,Transgender,Total,Male,Female,Transgender,Total,Male,Female,Transgender,Total,Male,Female,Transgender,Total,Male,Female,Transgender,Total,Male,Female,Transgender,Total,Male,Female,Transgender,Total,Male,Female,Transgender,Total,Male,Female,Transgender,Total,Male,Female,Transgender,Total,Male,Female,Transgender,Total,Male,Female,Transgender,Total
,STATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ANDHRA PRADESH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ARUNACHAL PRADESH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,2,3,0,0,3
3,ASSAM,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
4,BIHAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
5,CHHATTISGARH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,3,0,0,3
6,GOA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,GUJARAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,HARYANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
