Sl. No.,State/UT,Below 14 years,Below 14 years,Below 14 years,Below 14 years,14 and Above – Below 18 years,14 and Above – Below 18 years,14 and Above – Below 18 years,14 and Above – Below 18 years,18 and Above – Below 30 years,18 and Above – Below 30 years,18 and Above – Below 30 years,18 and Above – Below 30 years,30 and Above – Below 45 years,30 and Above – Below 45 years,30 and Above – Below 45 years,30 and Above – Below 45 years,45 and Above–Below 60 years,45 and Above–Below 60 years,45 and Above–Below 60 years,45 and Above–Below 60 years,60 years & Above,60 years & Above,60 years & Above,60 years & Above,Total,Total,Total,Total,Total
,,Male,Female,Transgender,Total,Male,Female,Transgender,Total,Male,Female,Transgender,Total,Male,Female,Transgender,Total,Male,Female,Transgender,Total,Male,Female,Transgender,Total,Male,Female,Transgender,Total,Percentage Share
1,Avalanche,1,0,0,1,0,0,0,0,19,0,0,19,1,0,0,1,0,0,0,0,19,0,0,19,35,0,0,35,0.4
2,Exposure to cold,16,2,0,18,7,3,0,10,65,7,1,73,16,2,0,18,7,3,0,10,65,7,1,73,676,114,6,796,9.8
3,Cyclone,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,9,0,0,9,22,11,0,33,0.4
4,Tornado,0,2,0,2,2,0,0,2,3,1,0,4,0,2,0,2,2,0,0,2,3,1,0,4,8,7,0,15,0.2
5,Tsunami,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,Earthquake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0
7,Epidemic,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0.0
8,Flood,136,86,0,222,102,43,0,145,134,50,0,184,136,86,0,222,102,43,0,145,134,50,0,184,667,281,0,948,11.6
9,Heat/Sun Stroke,11,7,0,18,15,12,0,27,133,30,0,163,11,7,0,18,15,12,0,27,133,30,0,163,1068,204,2,1274,15.6
10,Landslide,9,13,0,22,6,8,0,14,45,14,0,59,9,13,0,22,6,8,0,14,45,14,0,59,174,90,0,264,3.2
11,Lightning,133,62,0,195,193,56,0,249,550,177,0,727,133,62,0,195,193,56,0,249,550,177,0,727,2101,772,3,2876,35.3
12,Torrential Rain,2,2,0,4,1,1,0,2,5,3,0,8,2,2,0,4,1,1,0,2,5,3,0,8,44,25,0,69,0.8
13,Forest Fire,0,2,0,2,1,0,0,1,0,0,0,0,0,2,0,2,1,0,0,1,0,0,0,0,4,5,0,9,0.1
14,Causes other than  above,31,18,0,49,10,8,0,18,147,54,0,201,31,18,0,49,10,8,0,18,147,54,0,201,1501,323,0,1824,22.4
15,Total,339,194,0,533,337,131,0,468,1110,337,1,1448,339,194,0,533,337,131,0,468,1110,337,1,1448,6301,1833,11,8145,100.0
