Sl. No.,Means/Mode,Male,Female,Transgender,Total,Percentage Share
1,By Consuming Sleeping Pills,487,266,0,753,0.5
2,By Drowning,4986,2222,0,7208,5.2
3,By Fire/Self Immolation,1937,3295,2,5234,3.8
4,By Firearms,303,125,0,428,0.3
5,By Hanging,54198,20420,11,74629,53.6
6,By Poison (Total),24594,11284,4,35882,25.8
6.1, By Consuming        Insecticides,16873,7188,3,24064,17.3
6.2, By Consuming Other        Poison,7721,4096,1,11818,8.5
7,By Self inflicting  Injury,594,234,0,828,0.6
8,Jumping (Total),1587,447,0,2034,1.5
8.1, from Building,695,298,0,993,0.7
8.2, from Other Sites,159,31,0,190,0.1
8.3, by Jumping off Moving       Trains/Vehicles,733,118,0,851,0.6
9,By Coming under Running Vehicles/Trains,2891,446,0,3337,2.4
10,By Touching Electric Wire,590,162,0,752,0.5
11,By Other Means,5446,2592,0,8038,5.8
12,Total,97613,41493,17,139123,100.0
