Sl. No.,City,Number of Suicides,Percentage Share in Total Suicides,Projected Mid–Year Population(in Lakh),Rate of Suicides
,CITIES,,,,
1,AGRA,129,0.6,17.5,7.4
2,AHMEDABAD,763,3.4,63.5,12.0
3,ALLAHABAD,31,0.1,12.2,2.5
4,AMRITSAR,78,0.3,11.8,6.6
5,ASANSOL,469,2.1,12.4,37.8
6,AURANGABAD,283,1.3,11.9,23.8
7,BENGALURU,2081,9.3,85.0,24.5
8,BHOPAL,353,1.6,18.8,18.8
9,CHANDIGARH (CITY),131,0.6,10.3,12.7
10,CHENNAI,2461,11.0,87.0,28.3
11,COIMBATORE,338,1.5,21.5,15.7
12,DELHI (CITY),2423,10.8,163.2,14.8
13,DHANBAD,257,1.1,12.0,21.4
14,DURG BHILAINAGAR,376,1.7,10.6,35.5
15,FARIDABAD,265,1.2,14.1,18.8
16,GHAZIABAD,132,0.6,23.6,5.6
17,GWALIOR,295,1.3,11.0,26.8
18,HYDERABAD,389,1.7,77.5,5.0
19,INDORE,618,2.8,21.7,28.5
20,JABALPUR,302,1.3,12.7,23.8
21,JAIPUR,441,2.0,30.7,14.4
22,JAMSHEDPUR,108,0.5,13.4,8.1
23,JODHPUR,145,0.6,11.4,12.7
24,KANNUR,148,0.7,16.4,9.0
25,KANPUR,492,2.2,29.2,16.8
26,KOCHI,222,1.0,21.2,10.5
27,KOLKATA,181,0.8,141.1,1.3
28,KOLLAM,457,2.0,11.1,41.2
29,KOTA,136,0.6,10.0,13.6
30,KOZHIKODE,258,1.2,20.3,12.7
31,LUCKNOW,254,1.1,29.0,8.8
32,LUDHIANA,254,1.1,16.1,15.8
33,MADURAI,345,1.5,14.6,23.6
34,MALAPPURAM,101,0.5,17.0,5.9
35,MEERUT,38,0.2,14.3,2.7
36,MUMBAI,1229,5.5,184.1,6.7
37,NAGPUR,636,2.8,25.0,25.4
38,NASIK,366,1.6,15.6,23.5
39,PATNA,92,0.4,20.5,4.5
40,PUNE,719,3.2,50.5,14.2
41,RAIPUR,332,1.5,11.2,29.6
42,RAJKOT,416,1.9,13.9,29.9
43,RANCHI,57,0.3,11.3,5.0
44,SRINAGAR,2,0.0,12.7,0.2
45,SURAT,795,3.6,45.9,17.3
46,THIRUVANANTHAPURAM,331,1.5,16.9,19.6
47,THRISSUR,405,1.8,18.6,21.8
48,TIRUCHIRAPPALLI,188,0.8,10.2,18.4
49,VADODARA,218,1.0,18.2,12.0
50,VARANASI,49,0.2,14.4,3.4
51,VASAI VIRAR,254,1.1,12.2,20.8
52,VIJAYAWADA,267,1.2,14.9,17.9
53,VISHAKHAPATNAM,280,1.3,17.3,16.2
,TOTAL (CITIES),22390,100.0,1607.2,13.9
