Sl. No.,City,Number of Suicides,Number of Suicides,Percentage Variation in 2019 over 2018
,,2018,2019,
,CITIES,,,
37,AGRA,113,129,14.2
38,AHMEDABAD,706,763,8.1
39,ALLAHABAD,0,31,-
40,AMRITSAR,66,78,18.2
41,ASANSOL,391,469,19.9
42,AURANGABAD,269,283,5.2
43,BENGALURU,2082,2081,0.0
44,BHOPAL,392,353,-9.9
45,CHANDIGARH (CITY),160,131,-18.1
46,CHENNAI,2102,2461,17.1
47,COIMBATORE,340,338,-0.6
48,DELHI (CITY),2369,2423,2.3
49,DHANBAD,261,257,-1.5
50,DURG BHILAINAGAR,351,376,7.1
51,FARIDABAD,149,265,77.9
52,GHAZIABAD,183,132,-27.9
53,GWALIOR,249,295,18.5
54,HYDERABAD,536,389,-27.4
55,INDORE,581,618,6.4
56,JABALPUR,259,302,16.6
57,JAIPUR,481,441,-8.3
58,JAMSHEDPUR,105,108,2.9
59,JODHPUR,118,145,22.9
60,KANNUR,156,148,-5.1
61,KANPUR,480,492,2.5
62,KOCHI,179,222,24.0
63,KOLKATA,162,181,11.7
64,KOLLAM,393,457,16.3
65,KOTA,114,136,19.3
66,KOZHIKODE,253,258,2.0
67,LUCKNOW,263,254,-3.4
68,LUDHIANA,194,254,30.9
69,MADURAI,295,345,16.9
70,MALAPPURAM,125,101,-19.2
71,MEERUT,6,38,533.3
72,MUMBAI,1174,1229,4.7
73,NAGPUR,680,636,-6.5
74,NASIK,198,366,84.8
75,PATNA,77,92,19.5
76,PUNE,639,719,12.5
77,RAIPUR,308,332,7.8
78,RAJKOT,449,416,-7.3
79,RANCHI,234,57,-75.6
80,SRINAGAR,12,2,-83.3
81,SURAT,816,795,-2.6
82,THIRUVANANTHAPURAM,319,331,3.8
83,THRISSUR,359,405,12.8
84,TIRUCHIRAPPALLI,193,188,-2.6
85,VADODARA,183,218,19.1
86,VARANASI,27,49,81.5
87,VASAI VIRAR,281,254,-9.6
88,VIJAYAWADA,286,267,-6.6
89,VISHAKHAPATNAM,290,280,-3.4
,TOTAL (CITIES),21408,22390,4.6
