Sl. No.,City,Road Accidents,Road Accidents,Road Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Total Traffic Accidents,Total Traffic Accidents,Total Traffic Accidents,% Share
,,2018,2019,% Variation,2018,2019,% Variation,2018,2019,% Variation,2018,2019,% Variation,
37,AGRA,186,292,57.0,0,0,-,17,42,147.1,203,334,64.5,0.5
38,AHMEDABAD,1617,1380,-14.7,52,24,-53.8,0,0,-,1669,1404,-15.9,2.0
39,ALLAHABAD,878,776,-11.6,0,0,-,0,0,-,878,776,-11.6,1.1
40,AMRITSAR,123,133,8.1,0,0,-,0,0,-,123,133,8.1,0.2
41,ASANSOL,397,442,11.3,7,7,0.0,0,0,-,404,449,11.1,0.7
42,AURANGABAD,597,516,-13.6,38,41,7.9,0,0,-,635,557,-12.3,0.8
43,BENGALURU,4611,4684,1.6,0,0,-,0,0,-,4611,4684,1.6,6.8
44,BHOPAL,2675,2516,-5.9,33,20,-39.4,11,12,9.1,2719,2548,-6.3,3.7
45,CHANDIGARH (CITY),317,304,-4.1,0,0,-,0,0,-,317,304,-4.1,0.4
46,CHENNAI,7580,6871,-9.4,0,0,-,0,0,-,7580,6871,-9.4,9.9
47,COIMBATORE,1136,1062,-6.5,0,0,-,0,0,-,1136,1062,-6.5,1.5
48,DELHI (CITY),5768,5349,-7.3,990,858,-13.3,6,11,83.3,6764,6218,-8.1,9.0
49,DHANBAD,187,171,-8.6,0,0,-,0,0,-,187,171,-8.6,0.2
50,DURG BHILAINAGAR,675,533,-21.0,28,34,21.4,0,0,-,703,567,-19.3,0.8
51,FARIDABAD,709,736,3.8,1,0,-100.0,0,0,-,710,736,3.7,1.1
52,GHAZIABAD,199,197,-1.0,63,59,-6.3,0,0,-,262,256,-2.3,0.4
53,GWALIOR,1240,1218,-1.8,26,0,-100.0,0,29,-,1266,1247,-1.5,1.8
54,HYDERABAD,2846,2900,1.9,0,0,-,0,0,-,2846,2900,1.9,4.2
"I
55",NDORE,2698,3336,23.6,14,13,-7.1,0,0,-,2712,3349,23.5,4.8
56  J,ABALPUR,2246,2167,-3.5,0,0,-,0,0,-,2246,2167,-3.5,3.1
57  J,AIPUR,2781,3045,9.5,60,136,126.7,0,0,-,2841,3181,12.0,4.6
58  J,AMSHEDPUR,186,191,2.7,0,0,-,0,0,-,186,191,2.7,0.3
59  J,ODHPUR,549,686,25.0,0,0,-,0,0,-,549,686,25.0,1.0
60,KANNUR,621,657,5.8,15,30,100.0,0,0,-,636,687,8.0,1.0
61,KANPUR,1126,1053,-6.5,0,0,-,78,91,16.7,1204,1144,-5.0,1.7
62,KOCHI,2311,2138,-7.5,0,0,-,29,16,-44.8,2340,2154,-7.9,3.1
63,KOLKATA,2173,2068,-4.8,0,0,-,0,0,-,2173,2068,-4.8,3.0
64,KOLLAM,1940,1940,0.0,0,0,-,21,23,9.5,1961,1963,0.1,2.8
65,KOTA,466,491,5.4,0,0,-,0,0,-,466,491,5.4,0.7
66,KOZHIKODE,1423,1597,12.2,13,11,-15.4,0,8,-,1436,1616,12.5,2.3
67  L,UCKNOW,872,879,0.8,23,56,143.5,3,3,0.0,898,938,4.5,1.4
68  L,UDHIANA,477,526,10.3,0,0,-,0,0,-,477,526,10.3,0.8
69,MADURAI,962,866,-10.0,0,0,-,0,0,-,962,866,-10.0,1.3
70,MALAPPURAM,812,838,3.2,8,4,-50.0,0,0,-,820,842,2.7,1.2
71,MEERUT,543,511,-5.9,0,0,-,10,17,70.0,553,528,-4.5,0.8
72,MUMBAI,691,588,-14.9,0,2,-,0,0,-,691,590,-14.6,0.9
73,NAGPUR,1340,1119,-16.5,50,46,-8.0,0,0,-,1390,1165,-16.2,1.7
74,NASIK,264,189,-28.4,5,34,580.0,0,0,-,269,223,-17.1,0.3
75,PATNA,621,524,-15.6,0,0,-,0,0,-,621,524,-15.6,0.8
76,PUNE,394,308,-21.8,18,29,61.1,0,0,-,412,337,-18.2,0.5
77,RAIPUR,1233,1257,1.9,28,42,50.0,3,0,-100.0,1264,1299,2.8,1.9
78,RAJKOT,568,575,1.2,16,19,18.8,0,0,-,584,594,1.7,0.9
79,RANCHI,337,354,5.0,0,0,-,0,0,-,337,354,5.0,0.5
80,SRINAGAR,375,310,-17.3,0,0,-,0,0,-,375,310,-17.3,0.4
81,SURAT,948,865,-8.8,21,25,19.0,0,0,-,969,890,-8.2,1.3
82,THIRUVANANTHAPURAM,2036,1704,-16.3,0,0,-,17,16,-5.9,2053,1720,-16.2,2.5
83,THRISSUR,2222,2210,-0.5,26,36,38.5,0,0,-,2248,2246,-0.1,3.3
84,TIRUCHIRAPPALLI,602,517,-14.1,0,0,-,0,0,-,602,517,-14.1,0.7
85,VADODARA,776,679,-12.5,15,16,6.7,0,0,-,791,695,-12.1,1.0
86,VARANASI,208,160,-23.1,21,20,-4.8,0,0,-,229,180,-21.4,0.3
87,VASAI VIRAR,364,335,-8.0,0,0,-,0,0,-,364,335,-8.0,0.5
88,VIJAYAWADA,1663,1499,-9.9,0,0,-,0,0,-,1663,1499,-9.9,2.2
89,VISHAKHAPATNAM,921,966,4.9,1,6,500.0,1,0,-100.0,923,972,5.3,1.4
,TOTAL (CITIES),69490,67228,-3.3,1572,1568,-0.3,196,268,36.7,71258,69064,-3.1,100.0
