Sl. No.,City,Road Accidents,Road Accidents,Road Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Total Traffic Accidents,Total Traffic Accidents,Total Traffic Accidents
,,Cases,Injured,Died,Cases,Injured,Died,Cases,Injured,Died,Cases,Injured,Died
37,AGRA,292,106,316,0,0,0,42,0,42,334,106,358
38,AHMEDABAD,1380,1148,439,24,0,24,0,0,0,1404,1148,463
39,ALLAHABAD,776,523,283,0,0,0,0,0,0,776,523,283
40,AMRITSAR,133,76,95,0,0,0,0,0,0,133,76,95
41,ASANSOL,442,354,314,7,0,7,0,0,0,449,354,321
42,AURANGABAD,516,372,226,41,0,41,0,0,0,557,372,267
43,BENGALURU,4684,4250,768,0,0,0,0,0,0,4684,4250,768
44,BHOPAL,2516,1909,123,20,0,20,12,0,12,2548,1909,155
45,CHANDIGARH (CITY),304,275,104,0,0,0,0,0,0,304,275,104
46,CHENNAI,6871,6702,1252,0,0,0,0,0,0,6871,6702,1252
47,COIMBATORE,1062,1073,132,0,0,0,0,0,0,1062,1073,132
48,DELHI (CITY),5349,4739,1400,858,62,796,11,0,11,6218,4801,2207
49,DHANBAD,171,75,127,0,0,0,0,0,0,171,75,127
50,DURG BHILAINAGAR,533,654,93,34,0,34,0,0,0,567,654,127
51,FARIDABAD,736,635,311,0,0,0,0,0,0,736,635,311
52,GHAZIABAD,197,28,201,59,0,59,0,0,0,256,28,260
53,GWALIOR,1218,1159,128,0,0,0,29,0,29,1247,1159,157
54,HYDERABAD,2900,2649,271,0,0,0,0,0,0,2900,2649,271
55,INDORE,3336,2606,297,13,0,13,0,0,0,3349,2606,310
56,JABALPUR,2167,2222,209,0,0,0,0,0,0,2167,2222,209
57,JAIPUR,3045,2451,721,136,0,138,0,0,0,3181,2451,859
58,JAMSHEDPUR,191,129,92,0,0,0,0,0,0,191,129,92
59,JODHPUR,686,527,260,0,0,0,0,0,0,686,527,260
60,KANNUR,657,811,82,30,1,30,0,0,0,687,812,112
61,KANPUR,1053,485,568,0,0,0,91,0,91,1144,485,659
62,KOCHI,2138,2254,155,0,0,0,16,0,16,2154,2254,171
63,KOLKATA,2068,2004,267,0,0,0,0,0,0,2068,2004,267
64,KOLLAM,1940,1981,225,0,0,0,23,0,23,1963,1981,248
65,KOTA,491,486,96,0,0,0,0,0,0,491,486,96
66,KOZHIKODE,1597,1597,179,11,0,11,8,0,8,1616,1597,198
67,LUCKNOW,879,570,360,56,18,38,3,0,3,938,588,401
68,LUDHIANA,526,291,365,0,0,0,0,0,0,526,291,365
69,MADURAI,866,799,193,0,0,0,0,0,0,866,799,193
70,MALAPPURAM,838,902,149,4,0,4,0,0,0,842,902,153
71,MEERUT,511,359,186,0,0,0,17,0,17,528,359,203
72,MUMBAI,588,106,483,2,0,2,0,0,0,590,106,485
73,NAGPUR,1119,899,270,46,0,46,0,0,0,1165,899,316
74,NASIK,189,36,189,34,0,34,0,0,0,223,36,223
75,PATNA,524,332,192,0,0,0,0,0,0,524,332,192
76,PUNE,308,94,227,29,5,29,0,0,0,337,99,256
77,RAIPUR,1257,729,142,42,0,42,0,0,0,1299,729,184
78,RAJKOT,575,437,170,19,0,19,0,0,0,594,437,189
79,RANCHI,354,241,233,0,0,0,0,0,0,354,241,233
80,SRINAGAR,310,323,45,0,0,0,0,0,0,310,323,45
81,SURAT,865,718,292,25,0,25,0,0,0,890,718,317
82,THIRUVANANTHAPURAM,1704,1701,160,0,0,0,16,0,14,1720,1701,174
83,THRISSUR,2210,2491,213,36,0,36,0,0,0,2246,2491,249
84,TIRUCHIRAPPALLI,517,585,104,0,0,0,0,0,0,517,585,104
85,VADODARA,679,551,158,16,0,16,0,0,0,695,551,174
86,VARANASI,160,91,76,20,0,20,0,0,0,180,91,96
87,VASAI VIRAR,335,180,166,0,0,0,0,0,0,335,180,166
88,VIJAYAWADA,1499,1442,355,0,0,0,0,0,0,1499,1442,355
89,VISHAKHAPATNAM,966,826,320,6,1,6,0,0,0,972,827,326
,TOTAL (CITIES),67228,58983,14782,1568,87,1490,268,0,266,69064,59070,16538
