Sl. No.,State/UT,Fault of Driver,Fault of Driver,Fault of Driver,Sabotage by Extremist/Terrorist/Others,Sabotage by Extremist/Terrorist/Others,Sabotage by Extremist/Terrorist/Others,Signalmen's Error,Signalmen's Error,Signalmen's Error,"Mechanical Failures (like Poor Design, Track Faults,Bridge/Tunnel Collapse etc.)","Mechanical Failures (like Poor Design, Track Faults,Bridge/Tunnel Collapse etc.)","Mechanical Failures (like Poor Design, Track Faults,Bridge/Tunnel Collapse etc.)",Other Causes,Other Causes,Other Causes,Total,Total,Total
,,Cases,Injured,Dead,Cases,Injured,Dead,Cases,Injured,Dead,Cases,Injured,Dead,Cases,Injured,Dead,Cases,Injured,Dead
,STATES,,,,,,,,,,,,,,,,,,
1,ANDHRA PRADESH,6,1,6,0,0,0,0,0,0,0,0,0,1505,0,1513,1511,1,1519
2,ARUNACHAL PRADESH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,ASSAM,0,0,0,0,0,0,0,0,0,0,0,0,591,0,593,591,0,593
4,BIHAR,0,0,0,0,0,0,0,0,0,3,0,3,1586,0,1619,1589,0,1622
5,CHHATTISGARH,0,0,0,0,0,0,0,0,0,0,0,0,466,0,466,466,0,466
6,GOA,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,50,0,50
7,GUJARAT,0,0,0,0,0,0,0,0,0,0,0,0,994,0,1012,994,0,1012
8,HARYANA,0,0,0,0,0,0,0,0,0,0,0,0,1362,126,1278,1362,126,1278
9,HIMACHAL PRADESH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,JAMMU & KASHMIR,0,0,0,0,0,0,0,0,0,0,0,0,44,0,45,44,0,45
11,JHARKHAND,0,0,0,0,0,0,8,0,8,31,0,31,444,1,447,483,1,486
12,KARNATAKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,KERALA,4,0,4,0,0,0,2,0,2,14,0,14,230,1,234,250,1,254
14,MADHYA PRADESH,12,0,12,0,0,0,0,0,0,2,0,2,1494,99,1395,1508,99,1409
15,MAHARASHTRA,0,0,0,0,0,0,0,0,0,0,0,0,6338,2435,3916,6338,2435,3916
16,MANIPUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,MEGHALAYA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,MIZORAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,NAGALAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,ODISHA,0,0,0,0,0,0,0,0,0,1,0,1,443,0,445,444,0,446
21,PUNJAB,0,0,0,0,0,0,0,0,0,0,0,0,893,65,831,893,65,831
22,RAJASTHAN,0,0,0,0,0,0,0,0,0,17,0,17,786,30,758,803,30,775
23,SIKKIM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,TAMIL NADU,0,0,0,0,0,0,0,0,0,0,0,0,2266,203,2081,2266,203,2081
25,TELANGANA,0,0,0,0,0,0,0,0,0,0,0,0,626,0,631,626,0,631
26,TRIPURA,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,5
27,UTTAR PRADESH,29,0,29,0,0,0,0,0,0,155,120,300,3796,382,3192,3980,502,3521
28,UTTARAKHAND,0,0,0,0,0,0,0,0,0,41,0,42,0,0,0,41,0,42
29,WEST BENGAL,0,0,0,0,0,0,0,0,0,0,0,0,2876,44,2832,2876,44,2832
,TOTAL (STATES),51,1,51,0,0,0,10,0,10,264,120,410,26795,3386,23343,27120,3507,23814
,UNION  TERRITORIES,,,,,,,,,,,,,,,,,,
30,A & NISLANDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,CHANDIGARH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,D & N HAVELI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,DAMAN & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,DELHI (UT),0,0,0,0,0,0,0,0,0,0,0,0,858,62,796,858,62,796
35,LAKSHADWEEP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,PUDUCHERRY,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,9,0,9
,TOTAL (UTs),0,0,0,0,0,0,0,0,0,0,0,0,867,62,805,867,62,805
,TOTAL (ALL INDIA),51,1,51,0,0,0,10,0,10,264,120,410,27662,3448,24148,27987,3569,24619
