Sl. No.,City,Dangerous or Careless Driving/Over-taking/etc.,Dangerous or Careless Driving/Over-taking/etc.,Dangerous or Careless Driving/Over-taking/etc.,Over Speeding,Over Speeding,Over Speeding,Driving under Influence of Drug/Alcohol,Driving under Influence of Drug/Alcohol,Driving under Influence of Drug/Alcohol,Physical Fatigue of Drivers,Physical Fatigue of Drivers,Physical Fatigue of Drivers,Defect in Mechanical Condition of Motor Vehicle,Defect in Mechanical Condition of Motor Vehicle,Defect in Mechanical Condition of Motor Vehicle,Animal Crossing,Animal Crossing,Animal Crossing,Weather Condition (Total),Weather Condition (Total),Weather Condition (Total),Weather Condition(Poor Visibility),Weather Condition(Poor Visibility),Weather Condition(Poor Visibility),Weather Condition (Others Causes),Weather Condition (Others Causes),Weather Condition (Others Causes),Lack of Road Infrastructure,Lack of Road Infrastructure,Lack of Road Infrastructure,Vehicles Parking at Road Shoulders,Vehicles Parking at Road Shoulders,Vehicles Parking at Road Shoulders,Causes Not Known,Causes Not Known,Causes Not Known,Other Causes,Other Causes,Other Causes,Total Road Accidents,Total Road Accidents,Total Road Accidents,Unmanned Railway Crossing Accidents,Unmanned Railway Crossing Accidents,Unmanned Railway Crossing Accidents,Grand Total,Grand Total,Grand Total
,,Cases,Injured,Died,Cases,Injured,Died,Cases,Injured,Died,Cases,Injured,Died,Cases,Injured,Died,Cases,Injured,Died,Cases,Injured,Died,Cases,Injured,Died,Cases,Injured,Died,Cases,Injured,Died,Cases,Injured,Died,Cases,Injured,Died,Cases,Injured,Died,Cases,Injured,Died,Cases,Injured,Died,Cases,Injured,Died
37,AGRA,208,84,222,84,22,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,106,316,0,0,0,292,106,316
38,AHMEDABAD,1,1,0,1374,1142,434,1,1,1,3,3,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380,1148,439,0,0,0,1380,1148,439
39,ALLAHABAD,107,62,26,203,86,36,103,44,32,11,28,18,13,29,22,15,24,18,44,63,29,23,32,16,21,31,13,15,37,24,33,42,20,15,18,12,217,90,46,776,523,283,0,0,0,776,523,283
40,AMRITSAR,16,8,16,99,55,66,3,3,4,0,0,0,0,0,0,15,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,76,95,0,0,0,133,76,95
41,ASANSOL,429,343,301,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,9,0,0,0,442,354,314,0,0,0,442,354,314
42,AURANGABAD,8,5,3,472,340,210,13,7,6,0,0,0,4,3,1,18,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,516,372,226,0,0,0,516,372,226
43,BENGALURU,438,389,54,4143,3707,691,32,33,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,121,16,4684,4250,768,0,0,0,4684,4250,768
44,BHOPAL,1532,1084,77,196,160,10,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,21,14,2,0,0,0,163,168,15,602,481,19,2516,1909,123,0,0,0,2516,1909,123
45,CHANDIGARH (CITY),14,8,5,282,259,99,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,275,104,0,0,0,304,275,104
46,CHENNAI,645,830,136,3043,2651,668,438,469,49,937,890,216,434,483,48,8,7,0,1315,1327,104,883,948,12,432,379,92,9,5,5,42,40,26,0,0,0,0,0,0,6871,6702,1252,0,0,0,6871,6702,1252
