Sl. No.,State/UT,Collisions,Collisions,Collisions,Derailments,Derailments,Derailments,Fall from Train/Collisionwith People at Tracks,Fall from Train/Collisionwith People at Tracks,Fall from Train/Collisionwith People at Tracks,Explosion/Fire,Explosion/Fire,Explosion/Fire,Others,Others,Others,Total,Total,Total
,,Cases,Injured,Dead,Cases,Injured,Dead,Cases,Injured,Dead,Cases,Injured,Dead,Cases,Injured,Dead,Cases,Injured,Dead
,STATES,,,,,,,,,,,,,,,,,,
1,ANDHRA PRADESH,0,0,0,0,0,0,1511,1,1519,0,0,0,0,0,0,1511,1,1519
2,ARUNACHAL PRADESH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,ASSAM,0,0,0,0,0,0,591,0,593,0,0,0,0,0,0,591,0,593
4,BIHAR,0,0,0,0,0,0,1305,0,1338,0,0,0,284,0,284,1589,0,1622
5,CHHATTISGARH,0,0,0,0,0,0,344,0,344,0,0,0,122,0,122,466,0,466
6,GOA,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,50,0,50
7,GUJARAT,0,0,0,0,0,0,994,0,1012,0,0,0,0,0,0,994,0,1012
8,HARYANA,0,0,0,0,0,0,756,96,660,0,0,0,606,30,618,1362,126,1278
9,HIMACHAL PRADESH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,JAMMU & KASHMIR,0,0,0,0,0,0,40,0,41,0,0,0,4,0,4,44,0,45
11,JHARKHAND,0,0,0,0,0,0,483,1,486,0,0,0,0,0,0,483,1,486
12,KARNATAKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,KERALA,0,0,0,0,0,0,202,1,202,0,0,0,48,0,52,250,1,254
14,MADHYA PRADESH,0,0,0,0,0,0,1314,99,1217,0,0,0,194,0,192,1508,99,1409
15,MAHARASHTRA,0,0,0,0,0,0,6059,2293,3778,0,0,0,279,142,138,6338,2435,3916
16,MANIPUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,MEGHALAYA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,MIZORAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,NAGALAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,ODISHA,0,0,0,0,0,0,444,0,446,0,0,0,0,0,0,444,0,446
21,PUNJAB,0,0,0,0,0,0,893,65,831,0,0,0,0,0,0,893,65,831
22,RAJASTHAN,0,0,0,0,0,0,753,30,724,0,0,0,50,0,51,803,30,775
23,SIKKIM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,TAMIL NADU,0,0,0,0,0,0,2266,203,2081,0,0,0,0,0,0,2266,203,2081
25,TELANGANA,0,0,0,0,0,0,626,0,631,0,0,0,0,0,0,626,0,631
26,TRIPURA,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,0,5
27,UTTAR PRADESH,49,11,42,10,1,10,2584,345,2239,0,0,0,1337,145,1230,3980,502,3521
28,UTTARAKHAND,0,0,0,0,0,0,41,0,42,0,0,0,0,0,0,41,0,42
29,WEST BENGAL,0,0,0,0,0,0,66,0,66,0,0,0,2810,44,2766,2876,44,2832
,TOTAL (STATES),49,11,42,10,1,10,21327,3134,18305,0,0,0,5734,361,5457,27120,3507,23814
,UNION  TERRITORIES,,,,,,,,,,,,,,,,,,
30,A & NISLANDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,CHANDIGARH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,D & N HAVELI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,DAMAN & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,DELHI (UT),0,0,0,0,0,0,34,0,34,0,0,0,824,62,762,858,62,796
35,LAKSHADWEEP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,PUDUCHERRY,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,9,0,9
,TOTAL (UTs),0,0,0,0,0,0,34,0,34,0,0,0,833,62,771,867,62,805
,TOTAL (ALL INDIA),49,11,42,10,1,10,21361,3134,18339,0,0,0,6567,423,6228,27987,3569,24619
