Sl. No.,City,Truck/Lorry,Truck/Lorry,Truck/Lorry,Bus,Bus,Bus,SUV/Station Wagon/etc,SUV/Station Wagon/etc,SUV/Station Wagon/etc,Car,Car,Car,Jeep,Jeep,Jeep,Tractor,Tractor,Tractor,Three Wheeler/Auto Rickshaw,Three Wheeler/Auto Rickshaw,Three Wheeler/Auto Rickshaw,Two Wheeler,Two Wheeler,Two Wheeler,Other Motor Vehicles,Other Motor Vehicles,Other Motor Vehicles,Bicycle,Bicycle,Bicycle,Hand Drawn Vehicle/Cycle Rickshaw,Hand Drawn Vehicle/Cycle Rickshaw,Hand Drawn Vehicle/Cycle Rickshaw,Animal Drawn Vehicle,Animal Drawn Vehicle,Animal Drawn Vehicle,Pedestrian,Pedestrian,Pedestrian,Others,Others,Others,Grand Total,Grand Total,Grand Total
,,Offenders,Victims,Total,Offenders,Victims,Total,Offenders,Victims,Total,Offenders,Victims,Total,Offenders,Victims,Total,Offenders,Victims,Total,Offenders,Victims,Total,Offenders,Victims,Total,Offenders,Victims,Total,Offenders,Victims,Total,Offenders,Victims,Total,Offenders,Victims,Total,Offenders,Victims,Total,Offenders,Victims,Total,Offenders,Victims,Total
37,AGRA,4,93,97,0,13,13,1,22,23,1,66,67,0,0,0,1,6,7,0,16,16,1,91,92,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,308,316
38,AHMEDABAD,0,0,0,0,0,0,0,0,0,4,2,6,0,0,0,0,0,0,10,9,19,170,177,347,0,0,0,0,14,14,0,0,0,0,0,0,0,53,53,0,0,0,184,255,439
39,ALLAHABAD,21,26,47,12,21,33,5,9,14,11,22,33,1,3,4,1,5,6,11,17,28,20,16,36,17,15,32,0,9,9,0,8,8,0,0,0,5,10,15,11,7,18,115,168,283
40,AMRITSAR,0,3,3,0,4,4,0,0,0,1,17,18,0,0,0,0,0,0,0,7,7,7,48,55,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,8,87,95
41,ASANSOL,0,0,0,0,0,0,0,0,0,2,60,62,0,0,0,0,0,0,0,0,0,14,80,94,0,0,0,0,19,19,0,0,0,0,0,0,0,139,139,0,0,0,16,298,314
42,AURANGABAD,0,43,43,0,12,12,0,8,8,1,24,25,0,7,7,0,4,4,0,6,6,10,67,77,1,2,3,0,1,1,0,1,1,0,1,1,0,36,36,0,2,2,12,214,226
43,BENGALURU,2,2,4,0,1,1,0,0,0,14,16,30,0,0,0,0,0,0,7,9,16,340,77,417,0,12,12,13,0,13,0,0,0,0,0,0,0,272,272,2,1,3,378,390,768
44,BHOPAL,0,10,10,0,5,5,0,0,0,0,20,20,0,0,0,0,2,2,0,4,4,0,56,56,0,11,11,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,123,123
45,CHANDIGARH (CITY),0,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,7,7,0,46,46,0,0,0,0,10,10,0,1,1,0,0,0,0,36,36,0,0,0,0,104,104
46,CHENNAI,222,0,222,101,0,101,11,0,11,191,0,191,0,0,0,0,0,0,44,0,44,514,0,514,0,0,0,43,0,43,0,0,0,0,0,0,126,0,126,0,0,0,1252,0,1252
47,COIMBATORE,0,28,28,0,24,24,0,5,5,2,5,7,0,0,0,0,0,0,0,2,2,12,42,54,0,0,0,0,3,3,0,0,0,0,0,0,0,9,9,0,0,0,14,118,132
48,DELHI (CITY),24,130,154,9,61,70,16,29,45,108,227,335,1,14,15,1,7,8,17,38,55,126,278,404,13,96,109,3,11,14,0,3,3,0,0,0,4,68,72,36,80,116,358,1042,1400
49,DHANBAD,2,0,2,1,0,1,0,0,0,12,0,12,1,0,1,0,0,0,9,0,9,87,0,87,0,0,0,12,0,12,0,0,0,0,0,0,3,0,3,0,0,0,127,0,127
50,DURG BHILAINAGAR,1,20,21,0,2,2,0,0,0,0,10,10,0,4,4,0,0,0,0,4,4,11,36,47,0,0,0,0,2,2,0,0,0,0,0,0,0,3,3,0,0,0,12,81,93
51,FARIDABAD,0,10,10,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,8,8,0,77,77,0,0,0,0,17,17,0,0,0,0,0,0,0,117,117,0,67,67,0,311,311
52,GHAZIABAD,0,50,50,0,43,43,0,12,12,0,55,55,0,0,0,0,8,8,0,10,10,0,10,10,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,201
53,GWALIOR,1,7,8,0,5,5,3,2,5,7,21,28,0,1,1,1,4,5,1,7,8,9,57,66,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,24,104,128
54,HYDERABAD,3,8,11,1,7,8,1,0,1,12,18,30,0,0,0,0,0,0,5,8,13,79,99,178,0,0,0,0,5,5,0,0,0,0,0,0,0,25,25,0,0,0,101,170,271
55,INDORE,0,99,99,0,17,17,0,11,11,0,37,37,0,2,2,0,3,3,0,4,4,0,107,107,0,8,8,0,1,1,0,0,0,0,0,0,0,3,3,0,5,5,0,297,297
56,JABALPUR,0,0,0,6,0,6,0,0,0,21,32,53,0,0,0,0,0,0,6,19,25,65,36,101,0,0,0,14,10,24,0,0,0,0,0,0,0,0,0,0,0,0,112,97,209
57,JAIPUR,29,27,56,8,10,18,0,0,0,57,57,114,5,1,6,6,4,10,0,2,2,149,108,257,33,77,110,3,2,5,1,0,1,0,0,0,0,142,142,0,0,0,291,430,721
58,JAMSHEDPUR,2,12,14,1,2,3,0,0,0,2,3,5,0,0,0,0,0,0,8,4,12,7,40,47,0,0,0,6,0,6,0,0,0,0,0,0,0,5,5,0,0,0,26,66,92
59,JODHPUR,11,18,29,0,4,4,2,2,4,17,49,66,2,49,51,0,0,0,0,0,0,71,22,93,0,10,10,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,105,155,260
60,KANNUR,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,1,2,3,8,31,39,0,0,0,0,2,2,0,0,0,0,0,0,0,30,30,0,0,0,9,73,82
61,KANPUR,2,9,11,0,46,46,0,104,104,5,110,115,0,2,2,0,1,1,6,149,155,4,130,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,551,568
62,KOCHI,7,28,35,3,13,16,1,3,4,4,5,9,0,1,1,0,0,0,1,6,7,15,56,71,0,0,0,0,3,3,0,0,0,0,0,0,0,9,9,0,0,0,31,124,155
63,KOLKATA,0,80,80,0,95,95,0,2,2,0,26,26,0,0,0,0,0,0,0,10,10,0,51,51,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,267
64,KOLLAM,0,1,1,0,2,2,0,0,0,0,5,5,0,0,0,0,0,0,0,2,2,2,131,133,0,3,3,0,11,11,0,0,0,0,0,0,0,68,68,0,0,0,2,223,225
65,KOTA,2,2,4,0,0,0,0,0,0,4,5,9,0,0,0,0,0,0,1,1,2,43,13,56,1,0,1,5,0,5,0,0,0,0,0,0,0,19,19,0,0,0,56,40,96
66,KOZHIKODE,3,14,17,1,21,22,0,1,1,1,14,15,0,0,0,0,0,0,0,6,6,11,63,74,0,1,1,0,0,0,0,0,0,0,0,0,0,42,42,0,1,1,16,163,179
67,LUCKNOW,46,72,118,17,10,27,5,4,9,10,32,42,8,8,16,1,9,10,13,10,23,51,31,82,7,9,16,2,2,4,0,0,0,0,0,0,2,1,3,10,0,10,172,188,360
68,LUDHIANA,4,101,105,0,12,12,1,17,18,5,40,45,0,8,8,4,8,12,4,6,10,55,18,73,0,62,62,6,0,6,0,0,0,0,0,0,14,0,14,0,0,0,93,272,365
69,MADURAI,16,0,16,29,0,29,5,0,5,17,0,17,0,0,0,0,0,0,14,0,14,77,0,77,13,0,13,8,0,8,0,0,0,0,0,0,14,0,14,0,0,0,193,0,193
