Sl. No.,City,Road Accidents,Road Accidents,Road Accidents,Road Accidents,Road Accidents,Road Accidents,Road Accidents,Road Accidents,Road Accidents,Road Accidents,Road Accidents,Road Accidents,Road Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Total Traffic Accidents,Total Traffic Accidents,Total Traffic Accidents,Total Traffic Accidents,Total Traffic Accidents,Total Traffic Accidents,Total Traffic Accidents,Total Traffic Accidents,Total Traffic Accidents,Total Traffic Accidents,Total Traffic Accidents,Total Traffic Accidents,Total Traffic Accidents
,,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.,Total,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.,Total,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.,Total,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.,Total
37,AGRA,23,18,35,22,18,35,18,16,28,20,35,24,292,1,4,4,3,5,3,4,3,2,6,3,4,42,0,0,0,0,0,0,0,0,0,0,0,0,0,24,22,39,25,23,38,22,19,30,26,38,28,334
38,AHMEDABAD,148,121,130,88,128,115,104,93,98,112,123,120,1380,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,0,0,4,0,2,2,2,3,24,151,124,130,93,128,115,108,93,100,114,125,123,1404
39,ALLAHABAD,51,71,59,57,75,74,71,62,56,63,54,83,776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,71,59,57,75,74,71,62,56,63,54,83,776
40,AMRITSAR,13,11,6,10,12,15,10,9,12,7,14,14,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,6,10,12,15,10,9,12,7,14,14,133
41,ASANSOL,27,31,35,29,35,40,38,44,31,43,36,53,442,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,2,0,0,0,7,28,31,35,30,35,42,38,45,33,43,36,53,449
42,AURANGABAD,56,40,57,52,42,44,51,34,38,32,32,38,516,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,6,2,4,4,5,3,5,2,2,41,57,42,62,58,44,48,55,39,41,37,34,40,557
43,BENGALURU,420,378,404,373,380,392,366,410,371,399,388,403,4684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,378,404,373,380,392,366,410,371,399,388,403,4684
44,BHOPAL,265,236,209,203,236,259,217,201,153,179,174,184,2516,1,0,0,1,0,1,0,2,0,1,2,4,12,5,1,0,0,1,1,0,2,2,1,2,5,20,271,237,209,204,237,261,217,205,155,181,178,193,2548
45,CHANDIGARH (CITY),30,21,22,22,25,26,25,36,14,27,29,27,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,21,22,22,25,26,25,36,14,27,29,27,304
46,CHENNAI,687,627,674,586,618,620,587,520,511,488,476,477,6871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687,627,674,586,618,620,587,520,511,488,476,477,6871
47,COIMBATORE,113,93,80,65,90,100,89,92,81,74,96,89,1062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,93,80,65,90,100,89,92,81,74,96,89,1062
48,DELHI (CITY),503,449,498,426,458,466,445,392,403,436,448,425,5349,0,3,1,0,2,1,1,1,0,1,1,0,11,77,67,61,85,66,68,75,75,89,66,71,58,858,580,519,560,511,526,535,521,468,492,503,520,483,6218
