Sl. No.,State/UT,Road Accidents,Road Accidents,Road Accidents,Road Accidents,Road Accidents,Road Accidents,Road Accidents,Road Accidents,Road Accidents,Road Accidents,Road Accidents,Road Accidents,Road Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Total Traffic Accidents,Total Traffic Accidents,Total Traffic Accidents,Total Traffic Accidents,Total Traffic Accidents,Total Traffic Accidents,Total Traffic Accidents,Total Traffic Accidents,Total Traffic Accidents,Total Traffic Accidents,Total Traffic Accidents,Total Traffic Accidents,Total Traffic Accidents
,,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.,Total,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.,Total,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.,Total,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.,Total
,STATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ANDHRA PRADESH,1783,1655,1772,1799,1821,1795,1688,1721,1463,1595,1698,1887,20677,0,0,0,0,0,0,0,0,0,0,0,0,0,122,102,143,147,145,137,119,124,132,115,128,97,1511,1905,1757,1915,1946,1966,1932,1807,1845,1595,1710,1826,1984,22188
2,ARUNACHAL PRADESH,25,17,12,19,9,17,22,12,11,17,17,22,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,17,12,19,9,17,22,12,11,17,17,22,200
3,ASSAM,748,748,752,648,677,673,566,581,661,658,655,688,8055,1,0,0,1,0,0,0,0,1,0,1,1,5,54,40,45,54,39,35,48,54,56,60,58,48,591,803,788,797,703,716,708,614,635,718,718,714,737,8651
4,BIHAR,898,807,928,806,1054,1014,748,746,592,698,893,823,10007,26,28,22,12,15,19,17,15,18,15,20,34,241,115,105,116,140,105,129,144,149,143,144,141,158,1589,1039,940,1066,958,1174,1162,909,910,753,857,1054,1015,11837
5,CHHATTISGARH,1389,1236,1122,1236,1273,1178,1172,1025,999,1094,1127,1048,13899,0,0,0,1,0,0,0,0,0,0,0,0,1,39,38,31,31,30,41,37,40,40,56,47,36,466,1428,1274,1153,1268,1303,1219,1209,1065,1039,1150,1174,1084,14366
6,GOA,329,298,305,282,313,270,231,252,235,281,293,351,3440,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,3,2,3,2,4,4,6,8,5,50,335,301,309,285,315,273,233,256,239,287,301,356,3490
7,GUJARAT,1663,1580,1544,1395,1560,1357,1206,1136,1067,1310,1254,1431,16503,0,0,0,0,0,0,0,0,0,0,0,0,0,78,95,90,76,99,77,80,87,76,90,75,71,994,1741,1675,1634,1471,1659,1434,1286,1223,1143,1400,1329,1502,17497
8,HARYANA,963,809,991,919,932,875,923,888,855,915,926,941,10937,7,9,8,15,9,8,11,5,12,10,6,4,104,95,80,102,121,133,107,125,137,145,115,104,98,1362,1065,898,1101,1055,1074,990,1059,1030,1012,1040,1036,1043,12403
9,HIMACHAL PRADESH,240,167,250,254,255,292,233,252,228,257,232,236,2896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,167,250,254,255,292,233,252,228,257,232,236,2896
10,JAMMU & KASHMIR,452,293,440,503,535,592,639,406,435,555,517,428,5795,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,4,4,3,4,3,6,5,3,1,44,456,296,444,507,539,595,643,409,441,560,520,429,5839
11,JHARKHAND,465,486,440,447,428,485,465,396,371,414,396,424,5217,0,0,0,0,0,0,0,1,1,0,0,0,2,30,41,49,33,40,45,38,43,46,43,46,29,483,495,527,489,480,468,530,503,440,418,457,442,453,5702
12,KARNATAKA,3696,3512,3550,3583,3730,3599,3029,2895,2901,3168,3361,3620,40644,0,2,2,3,3,1,2,0,2,3,4,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,3696,3514,3552,3586,3733,3600,3031,2895,2903,3171,3365,3620,40666
13,KERALA,3772,3558,3377,3301,3653,3246,3144,2825,2985,3268,3352,3463,39944,9,16,11,11,18,15,18,17,15,11,10,9,160,23,14,33,21,26,16,12,18,23,14,24,26,250,3804,3588,3421,3333,3697,3277,3174,2860,3023,3293,3386,3498,40354
14,MADHYA PRADESH,5205,4365,4385,4368,5054,4661,4067,3788,3500,4080,4268,3900,51641,20,16,15,25,23,20,22,25,12,22,14,16,230,101,102,111,133,143,193,128,138,102,128,115,114,1508,5326,4483,4511,4526,5220,4874,4217,3951,3614,4230,4397,4030,53379
15,MAHARASHTRA,2623,2429,2588,2303,2672,2348,2117,1899,1850,1772,2274,2411,27286,0,0,0,0,0,0,0,0,0,0,0,0,0,529,508,552,594,568,552,467,486,489,580,514,499,6338,3152,2937,3140,2897,3240,2900,2584,2385,2339,2352,2788,2910,33624
16,MANIPUR,60,51,58,50,63,67,55,54,45,51,43,75,672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,51,58,50,63,67,55,54,45,51,43,75,672
17,MEGHALAYA,25,24,21,20,22,16,15,20,21,21,13,18,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,24,21,20,22,16,15,20,21,21,13,18,236
18,MIZORAM,3,7,5,4,4,3,4,5,5,5,5,7,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,5,4,4,3,4,5,5,5,5,7,57
19,NAGALAND,2,1,2,3,3,3,3,1,1,3,1,3,26,1,0,1,2,1,0,0,0,0,1,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,5,4,3,3,1,1,4,3,3,34
