Sl. No.,Cause,No. of Cases,No. of Persons Injured,No. of Persons Injured,No. of Persons Injured,No. of Persons Injured,No. of Persons Died,No. of Persons Died,No. of Persons Died,No. of Persons Died,Percentage Share (Cases)
,,,Male,Female,Transgender,Total,Male,Female,Transgender,Total,
,Rural Area,,,,,,,,,,
1,Near School/College/ Educational institution,18753,14609,4206,0,18815,5873,1194,0,7067,4.3
2,Near Residential Area,75201,58760,16045,0,74805,25326,4382,0,29708,17.2
3,Near Religious Place,13191,10766,2846,0,13612,3579,730,0,4309,3.0
4,Near Recreation Place/ Cinema Hall,11715,9824,2578,0,12402,3212,537,0,3749,2.7
5,Near Factory,12937,10682,2391,0,13073,3738,670,0,4408,3.0
6,Others,128582,118443,22788,0,141231,44066,6053,0,50119,29.4
7,Sub Total (Rural),260379,223084,50854,0,273938,85794,13566,0,99360,59.5
,Urban Area,,,,,,,,,,
8,Near School/College/ Educational institution,18390,14414,3821,0,18235,5095,1023,0,6118,4.2
9,Near Residential Area,55742,41126,10430,0,51556,14686,2763,1,17450,12.7
10,Near Religious Place,10578,8131,2215,0,10346,2993,556,0,3549,2.4
11,Near Recreation Place/ Cinema Hall,11722,8433,2227,0,10660,2848,495,0,3343,2.7
12,Near Factory/Industrial area,14480,10230,2792,0,13022,3841,668,0,4509,3.3
13,At Pedestrian Crossing,10591,6609,1905,0,8514,2606,514,1,3121,2.4
14,Others,55514,42820,10171,0,52991,14724,2558,0,17282,12.7
15,Sub Total (Urban),177017,131763,33561,0,165324,46793,8577,2,55372,40.5
16,Grand Total,437396,354847,84415,0,439262,132587,22143,2,154732,100.0
