Sl. No.,City,Rural Area(Near School/College/Educational Institution),Rural Area(Near School/College/Educational Institution),Rural Area(Near School/College/Educational Institution),Rural Area(Near School/College/Educational Institution),Rural Area(Near Residential Area),Rural Area(Near Residential Area),Rural Area(Near Residential Area),Rural Area(Near Residential Area),Rural Area(Near Religious Place),Rural Area(Near Religious Place),Rural Area(Near Religious Place),Rural Area(Near Religious Place),Rural Area(Near Recreation Place/Cinema Hall),Rural Area(Near Recreation Place/Cinema Hall),Rural Area(Near Recreation Place/Cinema Hall),Rural Area(Near Recreation Place/Cinema Hall),Rural Area(Near Factory),Rural Area(Near Factory),Rural Area(Near Factory),Rural Area(Near Factory),Rural Area(Others),Rural Area(Others),Rural Area(Others),Rural Area(Others),Rural Area(Sub Total),Rural Area(Sub Total),Rural Area(Sub Total),Rural Area(Sub Total),Urban Area(Near School/College/Educational Institution),Urban Area(Near School/College/Educational Institution),Urban Area(Near School/College/Educational Institution),Urban Area(Near School/College/Educational Institution),Urban Area(Near Residential Area,Urban Area(Near Residential Area,Urban Area(Near Residential Area,Urban Area(Near Residential Area,Urban Area(Near Religious Place),Urban Area(Near Religious Place),Urban Area(Near Religious Place),Urban Area(Near Religious Place),Urban Area(Near Recreation Place/Cinema Hall),Urban Area(Near Recreation Place/Cinema Hall),Urban Area(Near Recreation Place/Cinema Hall),Urban Area(Near Recreation Place/Cinema Hall),Urban Area(Near Factory/Industrial Area),Urban Area(Near Factory/Industrial Area),Urban Area(Near Factory/Industrial Area),Urban Area(Near Factory/Industrial Area),Urban Area(At Pedestrian Crossing),Urban Area(At Pedestrian Crossing),Urban Area(At Pedestrian Crossing),Urban Area(At Pedestrian Crossing),Urban Area(Others),Urban Area(Others),Urban Area(Others),Urban Area(Others),Urban Area(Sub Total),Urban Area(Sub Total),Urban Area(Sub Total),Urban Area(Sub Total),Grand Total,Grand Total,Grand Total,Grand Total
,,Male,Female,Transgender,Total,Male,Female,Transgender,Total,Male,Female,Transgender,Total,Male,Female,Transgender,Total,Male,Female,Transgender,Total,Male,Female,Transgender,Total,Male,Female,Transgender,Total,Male,Female,Transgender,Total,Male,Female,Transgender,Total,Male,Female,Transgender,Total,Male,Female,Transgender,Total,Male,Female,Transgender,Total,Male,Female,Transgender,Total,Male,Female,Transgender,Total,Male,Female,Transgender,Total,Male,Female,Transgender,Total
37,AGRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,4,0,58,158,31,0,189,23,7,0,30,13,6,0,19,18,0,0,18,2,0,0,2,0,0,0,0,268,48,0,316,268,48,0,316
38,AHMEDABAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,7,0,31,85,21,0,106,19,6,0,25,5,2,0,7,17,3,0,20,40,12,1,53,168,29,0,197,358,80,1,439,358,80,1,439
39,ALLAHABAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,13,0,34,19,14,0,33,15,10,0,25,18,12,0,30,23,9,0,32,7,8,0,15,73,41,0,114,176,107,0,283,176,107,0,283
40,AMRITSAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2,0,25,33,6,0,39,1,0,0,1,0,0,0,0,15,1,0,16,8,0,0,8,6,0,0,6,86,9,0,95,86,9,0,95
41,ASANSOL,0,0,0,0,47,2,0,49,0,0,0,0,0,0,0,0,1,0,0,1,53,4,0,57,101,6,0,107,1,0,0,1,73,6,0,79,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,108,18,0,126,183,24,0,207,284,30,0,314
42,AURANGABAD,2,0,0,2,30,2,0,32,15,0,0,15,0,0,0,0,12,5,0,17,0,0,0,0,59,7,0,66,3,0,0,3,91,18,0,109,3,1,0,4,0,0,0,0,15,2,0,17,18,7,0,25,2,0,0,2,132,28,0,160,191,35,0,226
43,BENGALURU,1,0,0,1,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,31,1,0,32,118,18,0,136,10,2,0,12,24,3,0,27,28,7,0,35,34,2,0,36,409,75,0,484,654,108,0,762,660,108,0,768
44,BHOPAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,5,0,36,9,0,0,9,7,1,0,8,3,0,0,3,0,0,0,0,58,9,0,67,108,15,0,123,108,15,0,123
45,CHANDIGARH (CITY),0,0,0,0,1,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,2,1,0,3,4,2,0,6,2,0,0,2,8,0,0,8,0,3,0,3,8,0,0,8,5,1,0,6,0,0,0,0,57,14,0,71,80,18,0,98,84,20,0,104
