Sl. No.,City,Road Accidents,Road Accidents,Road Accidents,Road Accidents,Road Accidents,Road Accidents,Road Accidents,Road Accidents,Road Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Total(Traffic Accidents),Total(Traffic Accidents),Total(Traffic Accidents),Total(Traffic Accidents),Total(Traffic Accidents),Total(Traffic Accidents),Total(Traffic Accidents),Total(Traffic Accidents),Total(Traffic Accidents)
,,0000 hrs to 0300 hrs. (Night),0300 hrs to 0600 hrs. (Night),0600 hrs to 0900 hrs (Day),0900 hrs to 1200 hrs (Day),1200 hrs to 1500 hrs (Day),1500 hrs to 1800 hrs (Day),1800 hrs to 2100hrs (Night),2100 hrs. to 2400hrs(Night),Total,0000 hrs to 0300 hrs. (Night),0300 hrs to 0600 hrs. (Night),0600 hrs to 0900 hrs (Day),0900 hrs to 1200 hrs (Day),1200 hrs to 1500 hrs (Day),1500 hrs to 1800 hrs (Day),1800 hrs to 2100hrs (Night),2100 hrs. to 2400hrs(Night),Total,0000 hrs to 0300 hrs. (Night),0300 hrs to 0600 hrs. (Night),0600 hrs to 0900 hrs (Day),0900 hrs to 1200 hrs (Day),1200 hrs to 1500 hrs (Day),1500 hrs to 1800 hrs (Day),1800 hrs to 2100hrs (Night),2100 hrs. to 2400hrs(Night),Total,0000 hrs to 0300 hrs. (Night),0300 hrs to 0600 hrs. (Night),0600 hrs to 0900 hrs (Day),0900 hrs to 1200 hrs (Day),1200 hrs to 1500 hrs (Day),1500 hrs to 1800 hrs (Day),1800 hrs to 2100hrs (Night),2100 hrs. to 2400hrs(Night),Total
37,AGRA,15,28,43,33,40,40,47,46,292,1,4,7,10,6,6,5,3,42,0,0,0,0,0,0,0,0,0,16,32,50,43,46,46,52,49,334
38,AHMEDABAD,84,48,124,237,224,208,261,194,1380,0,0,0,0,0,0,0,0,0,4,0,3,2,4,3,5,3,24,88,48,127,239,228,211,266,197,1404
39,ALLAHABAD,87,83,122,86,93,99,123,83,776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,83,122,86,93,99,123,83,776
40,AMRITSAR,7,3,16,20,22,15,31,19,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,16,20,22,15,31,19,133
41,ASANSOL,27,27,52,81,45,71,83,56,442,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,1,7,27,27,54,84,45,71,84,57,449
42,AURANGABAD,32,45,68,79,96,73,59,64,516,0,0,0,0,0,0,0,0,0,2,6,8,7,5,4,7,2,41,34,51,76,86,101,77,66,66,557
43,BENGALURU,255,298,612,715,773,701,762,568,4684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,298,612,715,773,701,762,568,4684
44,BHOPAL,206,251,256,451,601,367,198,186,2516,2,0,0,1,2,1,2,4,12,1,0,3,1,3,3,5,4,20,209,251,259,453,606,371,205,194,2548
45,CHANDIGARH (CITY),16,7,46,36,39,43,65,52,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,46,36,39,43,65,52,304
