Sl. No.,State/UT,Road Accidents,Road Accidents,Road Accidents,Road Accidents,Road Accidents,Road Accidents,Road Accidents,Road Accidents,Road Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Total(Traffic Accidents),Total(Traffic Accidents),Total(Traffic Accidents),Total(Traffic Accidents),Total(Traffic Accidents),Total(Traffic Accidents),Total(Traffic Accidents),Total(Traffic Accidents),Total(Traffic Accidents)
,,0000 hrs to 0300 hrs. (Night),0300 hrs to 0600 hrs. (Night),0600 hrs to 0900 hrs (Day),0900 hrs to 1200 hrs (Day),1200 hrs to 1500 hrs (Day),1500 hrs to 1800 hrs (Day),1800 hrs to 2100hrs (Night),2100 hrs. to 2400hrs(Night),Total,0000 hrs to 0300 hrs. (Night),0300 hrs to 0600 hrs. (Night),0600 hrs to 0900 hrs (Day),0900 hrs to 1200 hrs (Day),1200 hrs to 1500 hrs (Day),1500 hrs to 1800 hrs (Day),1800 hrs to 2100hrs (Night),2100 hrs. to 2400hrs(Night),Total,0000 hrs to 0300 hrs. (Night),0300 hrs to 0600 hrs. (Night),0600 hrs to 0900 hrs (Day),0900 hrs to 1200 hrs (Day),1200 hrs to 1500 hrs (Day),1500 hrs to 1800 hrs (Day),1800 hrs to 2100hrs (Night),2100 hrs. to 2400hrs(Night),Total,0000 hrs to 0300 hrs. (Night),0300 hrs to 0600 hrs. (Night),0600 hrs to 0900 hrs (Day),0900 hrs to 1200 hrs (Day),1200 hrs to 1500 hrs (Day),1500 hrs to 1800 hrs (Day),1800 hrs to 2100hrs (Night),2100 hrs. to 2400hrs(Night),Total
,STATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ANDHRA PRADESH,858,1206,2311,2864,3261,3679,4425,2073,20677,0,0,0,0,0,0,0,0,0,89,67,357,430,220,147,114,87,1511,947,1273,2668,3294,3481,3826,4539,2160,22188
2,ARUNACHAL PRADESH,12,12,17,24,24,52,43,16,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,17,24,24,52,43,16,200
3,ASSAM,443,548,958,1481,1244,1420,1122,839,8055,0,0,1,1,1,1,0,1,5,35,68,74,78,90,96,80,70,591,478,616,1033,1560,1335,1517,1202,910,8651
4,BIHAR,566,1665,1627,1630,1201,1485,1255,578,10007,22,59,21,29,20,28,26,36,241,130,155,224,250,192,215,178,245,1589,718,1879,1872,1909,1413,1728,1459,859,11837
5,CHHATTISGARH,563,632,1515,2107,2226,2598,2882,1376,13899,0,1,0,0,0,0,0,0,1,31,55,75,64,67,73,59,42,466,594,688,1590,2171,2293,2671,2941,1418,14366
6,GOA,245,150,306,528,563,595,635,418,3440,0,0,0,0,0,0,0,0,0,5,7,6,8,3,7,6,8,50,250,157,312,536,566,602,641,426,3490
7,GUJARAT,906,808,1643,2586,2576,2750,3396,1838,16503,0,0,0,0,0,0,0,0,0,80,91,151,136,113,131,169,123,994,986,899,1794,2722,2689,2881,3565,1961,17497
8,HARYANA,740,927,1281,1477,1552,1738,1946,1276,10937,12,13,9,19,16,16,12,7,104,134,119,248,190,154,174,192,151,1362,886,1059,1538,1686,1722,1928,2150,1434,12403
9,HIMACHAL PRADESH,136,91,220,372,430,575,679,393,2896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,91,220,372,430,575,679,393,2896
10,JAMMU & KASHMIR,191,250,531,1088,1182,1145,935,473,5795,0,0,0,0,0,0,0,0,0,1,6,7,5,7,6,11,1,44,192,256,538,1093,1189,1151,946,474,5839
11,JHARKHAND,317,499,708,828,837,804,809,415,5217,0,0,0,1,1,0,0,0,2,32,42,67,87,89,65,57,44,483,349,541,775,916,927,869,866,459,5702
12,KARNATAKA,1870,2052,4319,6026,6590,7164,8197,4426,40644,3,3,2,3,2,4,2,3,22,0,0,0,0,0,0,0,0,0,1873,2055,4321,6029,6592,7168,8199,4429,40666
13,KERALA,1063,1394,4866,7312,6199,7862,7962,3286,39944,23,26,12,13,12,20,34,20,160,27,35,41,32,15,32,35,33,250,1113,1455,4919,7357,6226,7914,8031,3339,40354
14,MADHYA PRADESH,2720,2467,4936,7616,8884,9284,9767,5967,51641,30,28,34,21,33,29,21,34,230,203,201,194,181,176,184,184,185,1508,2953,2696,5164,7818,9093,9497,9972,6186,53379
15,MAHARASHTRA,2047,2040,2694,3771,4107,4509,4801,3317,27286,0,0,0,0,0,0,0,0,0,476,444,873,974,794,893,1061,823,6338,2523,2484,3567,4745,4901,5402,5862,4140,33624
16,MANIPUR,14,16,81,101,127,127,143,63,672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,81,101,127,127,143,63,672
17,MEGHALAYA,17,22,25,28,33,39,36,36,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,22,25,28,33,39,36,36,236
18,MIZORAM,3,7,3,9,4,12,9,10,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,9,4,12,9,10,57
19,NAGALAND,0,1,3,6,5,5,5,1,26,0,0,4,0,1,0,1,2,8,0,0,0,0,0,0,0,0,0,0,1,7,6,6,5,6,3,34
20,ODISHA,1023,1193,1399,1367,1359,1456,1485,1782,11064,0,0,0,0,0,0,0,0,0,32,60,74,70,58,35,62,53,444,1055,1253,1473,1437,1417,1491,1547,1835,11508
21,PUNJAB,347,414,705,824,867,967,1215,977,6316,0,0,0,0,0,0,0,0,0,41,27,206,168,126,122,128,75,893,388,441,911,992,993,1089,1343,1052,7209
22,RAJASTHAN,1048,1200,2503,3395,4022,4702,4369,2239,23478,0,0,0,0,0,0,0,0,0,54,67,106,129,110,132,116,89,803,1102,1267,2609,3524,4132,4834,4485,2328,24281
23,SIKKIM,5,6,11,28,37,33,41,11,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,11,28,37,33,41,11,172
24,TAMIL NADU,2008,2781,6768,8190,8109,9971,13143,6258,57228,0,0,2,0,1,0,2,0,5,132,153,515,477,246,266,273,204,2266,2140,2934,7285,8667,8356,10237,13418,6462,59499
25,TELANGANA,1124,991,2227,3105,3260,4131,4489,2243,21570,0,0,0,0,0,0,0,0,0,48,33,129,162,70,61,67,56,626,1172,1024,2356,3267,3330,4192,4556,2299,22196
26,TRIPURA,13,8,59,128,133,149,114,51,655,1,3,5,4,4,3,4,3,27,0,1,2,1,0,1,0,0,5,14,12,66,133,137,153,118,54,687
27,UTTAR PRADESH,3612,3701,4401,4953,4962,5476,5823,4609,37537,46,112,147,120,107,125,132,62,851,450,534,597,509,475,458,508,449,3980,4108,4347,5145,5582,5544,6059,6463,5120,42368
28,UTTARAKHAND,115,116,152,185,209,202,200,173,1352,2,2,0,0,1,0,0,3,8,5,5,3,3,4,3,9,9,41,122,123,155,188,214,205,209,185,1401
29,WEST BENGAL,944,992,1345,1821,1742,1990,1979,1420,12233,0,5,27,22,19,20,19,1,113,119,237,424,404,600,515,460,117,2876,1063,1234,1796,2247,2361,2525,2458,1538,15222
,TOTAL (STATES),22950,26189,47614,63850,65745,74920,81905,46564,429737,139,252,264,233,218,246,253,172,1777,2124,2407,4373,4358,3609,3616,3769,2864,27120,25213,28848,52251,68441,69572,78782,85927,49600,458634
,UNION  TERRITORIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,A & NISLANDS,9,3,26,39,42,43,42,26,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,26,39,42,43,42,26,230
31,CHANDIGARH,16,7,46,36,39,43,65,52,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,46,36,39,43,65,52,304
32,D & N HAVELI,1,0,5,4,16,18,13,11,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,4,16,18,13,11,68
33,DAMAN & DIU,8,3,1,4,8,14,12,13,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,1,4,8,14,12,13,63
34,DELHI (UT),521,482,645,708,669,735,946,895,5601,0,2,2,1,3,1,1,1,11,52,78,145,110,121,109,147,96,858,573,562,792,819,793,845,1094,992,6470
35,LAKSHADWEEP,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
36,PUDUCHERRY,180,185,180,190,201,190,114,152,1392,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,2,9,183,185,180,190,201,190,118,154,1401
,TOTAL (UTs),735,680,903,982,975,1043,1192,1149,7659,0,2,2,1,3,1,1,1,11,55,78,145,110,121,109,151,98,867,790,760,1050,1093,1099,1153,1344,1248,8537
,TOTAL (ALL INDIA),23685,26869,48517,64832,66720,75963,83097,47713,437396,139,254,266,234,221,247,254,173,1788,2179,2485,4518,4468,3730,3725,3920,2962,27987,26003,29608,53301,69534,70671,79935,87271,50848,467171
