,Year,Accidental Deaths,Accidental Deaths,Accidental Deaths,Accidental Deaths,Suicides,Suicides,Suicides,Suicides
,,Male,Female,Transgender,Total,Male,Female,Transgender,Total
Sl. No.,,,,,,,,,
1,1967,79131,47631,,126762.0,22637.0,16192.0,,38829.0
2,1968,79159,47073,,126232.0,24464.0,16224.0,,40688.0
3,1969,82105,48650,,130755.0,25947.0,17686.0,,43633.0
4,1970,89210,50542,,139752.0,28846.0,19582.0,,48428.0
5,1971,68344,37257,,105601.0,26326.0,17349.0,,43675.0
6,1972,69838,36346,,106184.0,26923.0,16678.0,,43601.0
7,1973,69613,36741,,130654.0,25231.0,15576.0,,40807.0
8,1974,73580,37044,,110624.0,27791.0,18217.0,,46008.0
9,1975,74987,38029,,113016.0,26074.0,16816.0,,42890.0
10,1976,73098,38513,,111611.0,24042.0,17373.0,,41415.0
11,1977,76013,41325,,117338.0,23453.0,16265.0,,39718.0
12,1978,78352,40242,,118594.0,24137.0,16070.0,,40207.0
13,1979,72448,36539,,108987.0,22980.0,15237.0,,38217.0
14,1980,76293,40619,,116912.0,24188.0,17475.0,,41663.0
15,1981,82328,39893,,122221.0,23864.0,16381.0,,40245.0
16,1982,82977,43016,,125993.0,26520.0,18212.0,,44732.0
17,1983,85577,42999,,128576.0,27260.0,19319.0,,46579.0
18,1984,90636,43992,,134628.0,29296.0,21275.0,,50571.0
19,1985,93568,46089,,139657.0,30460.0,22351.0,,52811.0
20,1986,98480,48543,,147023.0,31271.0,23086.0,,54357.0
21,1987,103727,48587,,152314.0,34292.0,24276.0,,58568.0
22,1988,110235,53287,,163522.0,37755.0,26515.0,,64270.0
23,1989,114953,54113,,169066.0,40212.0,28532.0,,68744.0
24,1990,117932,56469,,174401.0,43451.0,30460.0,,73911.0
25,1991,129142,58861,,188003.0,46324.0,32126.0,,78450.0
26,1992,133977,60933,,194910.0,47481.0,32668.0,,80149.0
27,1993,130499,61858,,192357.0,49851.0,34393.0,,84244.0
28,1994,132241,58194,,190435.0,52752.0,36443.0,,89195.0
29,1995,157219,65268,,222487.0,52357.0,36821.0,,89178.0
30,1996,156106,63988,,220094.0,51206.0,37035.0,,88241.0
31,1997,164876,69027,,233903.0,56281.0,39548.0,,95829.0
32,1998,185520,72889,,258409.0,61686.0,43027.0,,104713.0
33,1999,193652,78266,,271918.0,65488.0,45099.0,,110587.0
34,2000,186324,69559,,255883.0,66032.0,42561.0,,108593.0
35,2001,196129,74890,,271019.0,66314.0,42192.0,,108506.0
36,2002,194850,65272,,260122.0,69332.0,41085.0,,110417.0
37,2003,197285,62340,,259625.0,70221.0,40630.0,,110851.0
38,2004,210190,67073,,277263.0,72651.0,41046.0,,113697.0
39,2005,224806,69369,,294175.0,72916.0,40998.0,,113914.0
40,2006,241210,73494,,314704.0,75702.0,42410.0,,118112.0
41,2007,262918,77876,,340794.0,79295.0,43342.0,,122637.0
42,2008,263809,78500,,342309.0,80544.0,44473.0,,125017.0
43,2009,276333,80688,,357021.0,81471.0,45680.0,,127151.0
44,2010,298262,86387,,384649.0,87180.0,47419.0,,134599.0
45,2011,302420,88464,,390884.0,87839.0,47746.0,,135585.0
46,2012,306061,88921,,394982.0,88453.0,46992.0,,135445.0
47,2013,312670,87847,,400517.0,90543.0,44256.0,,134799.0
48,2014,354573,97078,106.0,451757.0,89129.0,42521.0,16.0,131666.0
49,2015,328241,85169,47.0,413457.0,91528.0,42088.0,7.0,133623.0
